Time,MotorSpeed,Error,MotorCmd,Headroom,K_P,Direct,Desired
0.04000234603881836,0,127,0,32767,0,0,0
0.08100461959838867,0,127,0,32767,0,0,0
0.11800694465637207,0,127,0,32767,0,0,0
0.15900897979736328,0,127,0,32767,0,0,0
0.2000114917755127,0,127,0,32767,0,0,0
0.24001383781433105,0,127,0,32767,0,0,0
0.27701592445373535,0,127,0,32767,0,0,0
0.31801819801330566,0,127,0,32767,0,0,0
0.3590207099914551,0,127,0,32767,0,0,0
0.4000227451324463,0,127,0,32767,0,0,0
0.4410252571105957,0,127,0,32767,0,0,0
0.47802734375,0,127,0,32767,0,0,0
0.5190296173095703,0,127,0,32767,0,0,0
0.5600321292877197,0,127,0,32767,0,0,0
0.60103440284729,0,127,0,32767,0,0,0
0.6420369148254395,0,127,0,32767,0,0,0
0.6790387630462646,0,127,0,32767,0,0,0
0.7200412750244141,0,127,0,32767,0,0,0
0.7610435485839844,0,127,0,32767,0,0,0
0.837047815322876,0,127,0,32767,0,0,0
0.8490486145019531,0,127,0,32767,0,0,0
0.8790502548217773,0,127,0,32767,0,0,0
0.9200527667999268,0,127,0,32767,0,0,0
0.9610550403594971,0,127,0,32767,0,0,0
1.0020573139190674,0,127,0,32767,0,0,0
1.0390594005584717,0,127,0,32767,0,0,0
1.080061674118042,0,127,0,32767,0,0,0
1.1210641860961914,0,127,0,32767,0,0,0
1.1620664596557617,0,127,0,32767,0,0,0
1.2030689716339111,0,127,0,32767,0,0,0
1.2400710582733154,0,127,0,32767,0,0,0
1.2810733318328857,0,127,0,32767,0,0,0
1.322075605392456,0,127,0,32767,0,0,0
1.3630778789520264,0,127,0,32767,0,0,0
1.4040803909301758,0,127,0,32767,0,0,0
1.44108247756958,0,127,0,32767,0,0,0
1.4820847511291504,0,127,0,32767,0,0,0
1.5230872631072998,0,127,0,32767,0,0,0
1.563089370727539,0,127,0,32767,0,0,0
1.6040916442871094,0,127,0,32767,0,0,0
1.6410939693450928,0,127,0,32767,0,0,0
1.682096242904663,0,127,0,32767,0,0,0
1.7230987548828125,0,127,0,32767,0,0,0
1.7641010284423828,0,127,0,32767,0,0,0
1.801103115081787,0,127,0,32767,0,0,0
1.8421053886413574,0,127,0,32767,0,0,0
1.8901081085205078,0,127,0,32767,0,0,0
1.9241101741790771,0,127,0,32767,0,0,0
1.9651124477386475,0,127,0,32767,0,0,0
2.0021145343780518,0,127,0,32767,0,0,0
2.043116807937622,0,127,0,32767,0,0,0
2.0831191539764404,0,127,0,32767,0,0,0
2.125121593475342,0,127,0,32767,0,0,0
2.16512393951416,0,127,0,32767,0,0,0
2.2021257877349854,0,127,0,32767,0,0,0
2.2431282997131348,0,127,0,32767,0,0,0
2.284130573272705,0,127,0,32767,0,0,0
2.3251328468322754,0,127,0,32767,0,0,0
2.362135171890259,0,127,0,32767,0,0,0
2.403137683868408,0,127,0,32767,0,0,0
2.4441399574279785,0,127,0,32767,0,0,0
2.4851419925689697,0,127,0,32767,0,0,0
2.526144504547119,0,127,0,32767,0,0,0
2.5631465911865234,0,127,0,32767,0,0,0
2.604149103164673,0,127,0,32767,0,0,0
2.645151376724243,0,127,0,32767,0,0,0
2.6861538887023926,0,127,0,32767,0,0,0
2.726155996322632,0,127,0,32767,0,0,0
2.763158082962036,0,127,0,32767,0,0,0
2.8041603565216064,0,127,0,32767,0,0,0
2.845162868499756,0,127,0,32767,0,0,0
2.886165142059326,0,127,0,32767,0,0,0
2.9331676959991455,0,127,0,32767,0,0,0
2.964169502258301,0,127,0,32767,0,0,0
3.005171775817871,0,127,0,32767,0,0,0
3.0461742877960205,0,127,0,32767,0,0,0
3.087176561355591,0,127,0,32767,0,0,0
3.124178647994995,0,127,0,32767,0,0,0
3.1651809215545654,0,127,0,32767,0,0,0
3.206183433532715,0,127,0,32767,0,0,0
3.247185707092285,0,127,0,32767,0,0,0
3.2881879806518555,0,127,0,32767,0,0,0
3.324190378189087,0,127,0,32767,0,0,0
3.365192413330078,0,127,0,32767,0,0,0
3.4061949253082275,0,127,0,32767,0,0,0
3.447197198867798,0,127,0,32767,0,0,0
3.488199472427368,0,127,0,32767,0,0,0
3.5252017974853516,0,127,0,32767,0,0,0
3.566204071044922,0,127,0,32767,0,0,0
3.607206344604492,0,127,0,32767,0,0,0
3.6482086181640625,0,127,0,32767,0,0,0
3.689211130142212,0,127,0,32767,0,0,0
3.726213216781616,0,127,0,32767,0,0,0
3.7672154903411865,0,127,0,32767,0,0,0
3.808218002319336,0,127,0,32767,0,0,0
3.8492202758789062,0,127,0,32767,0,0,0
3.8862223625183105,0,127,0,32767,0,0,0
3.927224636077881,0,127,0,32767,0,0,0
3.9812278747558594,0,127,0,32767,0,0,0
4.0082292556762695,0,127,0,32767,0,0,0
4.049231767654419,0,127,0,32767,0,0,0
4.086233615875244,0,127,0,32767,0,0,0
4.1272361278533936,0,127,0,32767,0,0,0
4.168238401412964,0,127,0,32767,0,0,0
4.209240913391113,0,127,0,32767,0,0,0
4.250243186950684,0,127,0,32767,0,0,0
4.287245273590088,0,127,0,32767,0,0,0
4.328247547149658,0,127,0,32767,0,0,0
4.369250059127808,0,127,0,32767,0,0,0
4.410252332687378,0,127,0,32767,0,0,0
4.451254606246948,0,127,0,32767,0,0,0
4.488256931304932,0,127,0,32767,0,0,0
4.529258966445923,0,127,0,32767,0,0,0
4.569261312484741,0,127,0,32767,0,0,0
4.611263751983643,0,127,0,32767,0,0,0
4.647265911102295,0,127,0,32767,0,0,0
4.688268184661865,0,127,0,32767,0,0,0
4.729270696640015,0,127,0,32767,0,0,0
4.770272731781006,0,127,0,32767,0,0,0
4.811275005340576,0,127,0,32767,0,0,0
4.84827733039856,0,127,0,32767,0,0,0
4.889279842376709,0,127,0,32767,0,0,0
4.930282115936279,0,127,0,32767,0,0,0
4.97128438949585,0,127,0,32767,0,0,0
5.031287908554077,0,127,0,32767,0,0,0
5.054289102554321,0,127,0,32767,0,0,0
5.090291261672974,0,127,0,32767,0,0,0
5.131293535232544,0,127,0,32767,0,0,0
5.172296047210693,0,127,0,32767,0,0,0
5.212298393249512,0,127,0,32767,0,0,0
5.249300241470337,0,127,0,32767,0,0,0
5.290302515029907,0,127,0,32767,0,0,0
5.331305027008057,0,127,0,32767,0,0,0
5.372307300567627,0,127,0,32767,0,0,0
5.409309387207031,0,127,0,32767,0,0,0
5.450311660766602,0,127,0,32767,0,0,0
5.491313934326172,0,127,0,32767,0,0,0
5.532316446304321,0,127,0,32767,0,0,0
5.573318719863892,0,127,0,32767,0,0,0
5.610321044921875,0,127,0,32767,0,0,0
5.651323080062866,0,127,0,32767,0,0,0
5.692325592041016,0,127,0,32767,0,0,0
5.733327865600586,0,127,0,32767,0,0,150.0
5.773330211639404,0,127,0,32767,0,0,150.0
5.810332536697388,0,127,0,32767,0,0,150.0
5.851334810256958,0,127,0,32767,0,0,150.0
5.892336845397949,0,127,0,32767,0,0,150.0
5.933339357376099,0,127,0,32767,0,0,150.0
5.974341630935669,0,127,0,32767,0,0,150.0
6.011343955993652,0,127,0,32767,0,0,150.0
6.052346229553223,0,127,0,32767,0,0,150.0
6.101348876953125,0,127,0,32767,0,0,150.0
6.134351015090942,0,127,0,32767,0,0,150.0
6.171352863311768,0,127,0,32767,0,0,150.0
6.212355375289917,0,127,0,32767,0,0,150.0
6.253357648849487,0,127,0,32767,0,0,150.0
6.294360160827637,0,127,0,32767,0,0,150.0
6.335362434387207,0,127,0,32767,0,0,150.0
6.37136435508728,0,127,0,32767,0,0,150.0
6.41236686706543,0,127,0,32767,0,0,150.0
6.453369140625,0,127,0,32767,0,0,150.0
6.49437141418457,0,127,0,32767,0,0,150.0
6.53537392616272,0,127,0,32767,0,0,150.0
6.572375774383545,0,127,0,32767,0,0,150.0
6.613378286361694,0,127,0,32767,0,0,150.0
6.654380559921265,0,127,0,32767,0,0,150.0
6.695383071899414,0,127,0,32767,0,0,150.0
6.736385345458984,0,127,0,32767,0,0,150.0
6.773387670516968,0,127,0,32767,0,0,150.0
6.814389705657959,0,127,0,32767,0,0,150.0
6.855391979217529,0,127,0,32767,0,0,150.0
6.896394491195679,0,127,0,32767,0,0,150.0
6.933396577835083,0,127,0,32767,0,0,150.0
6.974399089813232,0,127,0,32767,0,0,150.0
7.015401363372803,0,127,0,32767,0,0,150.0
7.055403470993042,0,127,0,32767,0,0,150.0
7.097405910491943,0,127,0,32767,0,0,150.0
7.146408796310425,0,127,0,32767,0,0,150.0
7.174410343170166,0,127,0,32767,0,0,150.0
7.215412855148315,0,127,0,32767,0,0,150.0
7.256415128707886,0,127,0,32767,0,0,150.0
7.297417163848877,0,127,0,32767,0,0,150.0
7.33441948890686,0,127,0,32767,0,0,150.0
7.375421762466431,0,127,0,32767,0,0,150.0
7.41642427444458,0,127,0,32767,0,2.6,150.0
